Date,Campaign_ID,Campaign,Primary_channel_group,Source,Total_users,Sessions,Ads_impressions,Ads_clicks,Ads_cost,Return_on_ad_spend,Ads_CTR
2025-05-01,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,5,5,0,0,0.0,0.0,0.0
2025-05-01,01JT6NQHSRGEJBZRCFBNNPZVGV,"Mother's Day - May 1, 2025, 4:38 PM",Email,email,2,2,0,0,0.0,0.0,0.0
2025-05-01,(not set),(referral),Organic Social,business.facebook.com,1,3,0,0,0.0,0.0,0.0
2025-05-01,(not set),(referral),Organic Social,facebook.com,1,3,0,0,0.0,0.0,0.0
2025-05-01,(not set),(referral),Organic Social,l.facebook.com,1,3,0,0,0.0,0.0,0.0
2025-05-01,01JQA1VFY11JS912HRYJVP9NWC,Clientes -100,Email,email,1,1,0,0,0.0,0.0,0.0
2025-05-01,21934847264,Google_Shopping_Pickleball,Paid Shopping,google,1,1,3982,42,14.09,0.0,0.01054746358613762
2025-05-01,21938652714,(not set),Display,google,0,0,1,0,0.0,0.0,0.0
2025-05-01,21938652714,(not set),Paid Search,google,0,0,56,0,0.0,0.0,0.0
2025-05-01,21964277743,(not set),Paid Shopping,google,0,0,2185,21,7.880461,0.0,0.009610983981693364
2025-05-01,22354251261,(not set),Cross-network,google,0,0,27,1,1.43019,0.0,0.037037037037037035
2025-05-01,22377170377,(not set),Cross-network,google,0,0,26,2,1.889932,0.0,0.07692307692307693
2025-04-30,(not set),(organic),Organic Search,google,4,4,0,0,0.0,0.0,0.0
2025-04-30,01JT2M67X03VVH1641SRR7A9CH,RC30 PADEL (clone),Email,email,2,2,0,0,0.0,0.0,0.0
2025-04-30,120221855331690417,120221855331690417,Paid Social,ig,1,1,0,0,0.0,0.0,0.0
2025-04-30,21964277743,(not set),Paid Shopping,google,0,0,1514,15,3.59,0.0,0.009907529722589167
2025-04-30,22354251261,(not set),Cross-network,google,0,0,39,1,4.896173,0.0,0.02564102564102564
2025-04-29,21934847264,Google_Shopping_Pickleball,Paid Shopping,google,4,6,3865,55,12.902702,0.0,0.014230271668822769
2025-04-29,(not set),(organic),Organic Search,google,3,3,0,0,0.0,0.0,0.0
2025-04-29,(not set),(direct),Direct,(direct),2,2,0,0,0.0,0.0,0.0
2025-04-29,21964277743,Google_Shopping_Padel,Paid Shopping,google,2,3,2147,19,4.806485,17.2662559021821,0.008849557522123894
2025-04-29,(not set),(referral),Organic Social,l.instagram.com,1,1,0,0,0.0,0.0,0.0
2025-04-29,(not set),(referral),Referral,am-fans.com,1,1,0,0,0.0,0.0,0.0
